DMS_id,n_variants,median_D,p95_D,frac_highD
PAI1_HUMAN_Huttinger_2021,5345,0.5409054810815338,0.8340807635785557,0.10009354536950421
PA_I34A1_Wu_2015,1820,0.742476485979594,1.132247130056479,0.1
PHOT_CHLRE_Chen_2023,2122,0.5310874960715078,0.9088843548726898,0.10037700282752121
PIN1_HUMAN_Tsuboyama_2023_1I6C,686,0.5511675141173621,0.8060762850225329,0.10058309037900874
PITX2_HUMAN_Tsuboyama_2023_2L7M,938,0.5226652732698074,0.8659671872845117,0.10021321961620469
PKN1_HUMAN_Tsuboyama_2023_1URF,1301,0.6024075059663402,1.0276964696269473,0.10069177555726365
POLG_CXB3N_Mattenberger_2021,15711,0.692433122497988,1.018417692308116,0.10005728470498378
POLG_DEN26_Suphatrakul_2023,16897,0.7275326750689926,1.0762637259564731,0.10001775463099959
POLG_HCVJF_Qi_2014,1630,0.7538041624953338,1.0534851153371654,0.1
POLG_PESV_Tsuboyama_2023_2MXD,995,0.6967001292541528,1.1323317687221586,0.10050251256281408
PPARG_HUMAN_Majithia_2016,9576,0.5802593461451304,0.8973822384242831,0.10004177109440267
PPM1D_HUMAN_Miller_2022,7889,0.5771934465170054,0.8647703170956468,0.10001267587780453
PR40A_HUMAN_Tsuboyama_2023_1UZC,1163,0.6070159762579245,1.0215507856169708,0.10060189165950129
PRKN_HUMAN_Clausen_2023,8756,0.5740236042837423,0.8697391752528024,0.10004568296025583
PSAE_PICP2_Tsuboyama_2023_1PSE,1219,0.6175731477696516,0.9615250260319101,0.10008203445447088
PTEN_HUMAN_Matreyek_2021,5083,0.6027640137674563,0.8889117509163055,0.10013771394845564
PTEN_HUMAN_Mighell_2018,7260,0.5977795979039005,0.8805275489856081,0.1
Q2N0S5_9HIV1_Haddox_2018,12729,0.6840610849352214,1.0174995602088235,0.10000785607667531
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,3344,0.591167263617852,0.8562293887132209,0.10017942583732058
Q53Z42_HUMAN_McShan_2019_expression,3344,0.5916937869517396,0.8615444467199254,0.10017942583732058
Q59976_STRSQ_Romero_2015,2999,0.5145251326259277,0.8562455647901887,0.10003334444814939
Q6WV12_9MAXI_Somermeyer_2022,1141,0.7374341894319181,1.131902815313082,0.10078878177037687
Q837P4_ENTFA_Meier_2023,697,0.5781585630196462,0.9076469289400106,0.10043041606886657
Q837P5_ENTFA_Meier_2023,747,0.5576669530088589,0.8038234890125502,0.10040160642570281
Q8WTC7_9CNID_Somermeyer_2022,1201,0.740309462215476,1.0919820534440965,0.10074937552039967
R1AB_SARS2_Flynn_2022,5725,0.7413587559627616,1.1087179080512088,0.10008733624454148
RAD_ANTMA_Tsuboyama_2023_2CJJ,774,0.6009687155798518,1.0731116221109738,0.10077519379844961
RAF1_HUMAN_Zinkus-Boltz_2019,297,0.563815442780497,0.7957046890162511,0.10101010101010101
RASH_HUMAN_Bandaru_2017,3134,0.5550410499883918,0.8181628205274704,0.1001914486279515
